epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,11569.1,0.73325,0.49692,1.06738,0.88231,0.88467,0.91896,0.69922,1.01135,0.60086,1.41773,0.007052,0.007052,0.007052
136,11655.3,0.75508,0.50873,1.08302,0.86303,0.86472,0.90177,0.6821,1.02903,0.68025,1.40144,0.00703,0.00703,0.00703
137,11739.9,0.72926,0.47917,1.06845,0.91267,0.8697,0.92187,0.70353,1.0361,0.60505,1.43188,0.007008,0.007008,0.007008
138,11825.3,0.75207,0.50715,1.083,0.91439,0.86124,0.92663,0.70856,1.03075,0.57361,1.4207,0.006986,0.006986,0.006986
139,11910.9,0.7158,0.48516,1.06141,0.94144,0.85298,0.92071,0.7033,1.03592,0.60957,1.43813,0.006964,0.006964,0.006964
140,11996.2,0.73284,0.48474,1.06474,0.91649,0.85671,0.91287,0.7,1.01242,0.59816,1.41214,0.006942,0.006942,0.006942
141,12082.5,0.73242,0.48554,1.06294,0.91034,0.86155,0.91765,0.69716,1.02591,0.61085,1.43989,0.00692,0.00692,0.00692
142,12168.2,0.71474,0.48141,1.05116,0.91526,0.8753,0.92594,0.71185,1.02556,0.57891,1.42821,0.006898,0.006898,0.006898
143,12254.5,0.71141,0.46925,1.05738,0.90389,0.88756,0.91941,0.70087,1.03441,0.59511,1.42895,0.006876,0.006876,0.006876
144,12339.7,0.72323,0.47738,1.05032,0.87802,0.89456,0.92046,0.6981,1.03203,0.58864,1.43365,0.006854,0.006854,0.006854
145,12425.2,0.71917,0.48172,1.06078,0.91225,0.8785,0.92907,0.70524,1.04211,0.59969,1.44853,0.006832,0.006832,0.006832
146,12510.8,0.70716,0.46823,1.05131,0.91735,0.86825,0.92118,0.70644,1.0338,0.60683,1.43389,0.00681,0.00681,0.00681
147,12596.6,0.7056,0.47373,1.05553,0.91123,0.86504,0.91062,0.69553,1.03522,0.61898,1.44573,0.006788,0.006788,0.006788
148,12681.3,0.70556,0.47053,1.04251,0.92124,0.87749,0.91847,0.69781,1.02584,0.61165,1.43658,0.006766,0.006766,0.006766
149,12766.9,0.69744,0.47348,1.04617,0.91864,0.8611,0.92139,0.70344,1.02076,0.58856,1.45443,0.006744,0.006744,0.006744
150,12852.6,0.71288,0.47207,1.05723,0.92002,0.84973,0.9138,0.70263,1.0289,0.58851,1.44307,0.006722,0.006722,0.006722
151,12938.2,0.71164,0.46308,1.052,0.92532,0.85544,0.91632,0.7052,1.02441,0.58651,1.44176,0.0067,0.0067,0.0067
152,13023.9,0.69964,0.45992,1.04258,0.90878,0.88698,0.91223,0.69242,1.03057,0.58563,1.45425,0.006678,0.006678,0.006678
153,13109.7,0.71846,0.46454,1.05729,0.89646,0.90071,0.91799,0.69522,1.04502,0.58996,1.45049,0.006656,0.006656,0.006656
154,13195.5,0.69291,0.44935,1.04589,0.90389,0.87279,0.9169,0.70237,1.0377,0.60891,1.45558,0.006634,0.006634,0.006634
155,13281.2,0.68995,0.46506,1.04554,0.89031,0.88414,0.91795,0.69934,1.08109,0.59574,1.50994,0.006612,0.006612,0.006612
156,13366.1,0.69449,0.46177,1.0511,0.91862,0.87172,0.92342,0.71416,1.0241,0.5797,1.44496,0.00659,0.00659,0.00659
157,13452.1,0.69919,0.45423,1.0449,0.92494,0.85889,0.91822,0.70681,1.01888,0.59165,1.43331,0.006568,0.006568,0.006568
158,13536.4,0.68887,0.44858,1.03712,0.89671,0.88133,0.9189,0.7067,1.03819,0.61146,1.45922,0.006546,0.006546,0.006546
159,13622.2,0.69113,0.46431,1.04347,0.89747,0.88427,0.91955,0.70349,1.01666,0.59518,1.44901,0.006524,0.006524,0.006524
160,13707.8,0.68171,0.4526,1.04404,0.91596,0.87815,0.92143,0.71088,1.02252,0.59537,1.44915,0.006502,0.006502,0.006502
161,13792.4,0.68363,0.4608,1.04698,0.90824,0.88811,0.91862,0.70013,1.02286,0.60134,1.43898,0.00648,0.00648,0.00648
162,13877.5,0.6871,0.4574,1.04678,0.91872,0.8697,0.91538,0.70191,1.0259,0.60393,1.45028,0.006458,0.006458,0.006458
163,13962.8,0.68649,0.44797,1.03853,0.93735,0.87132,0.92978,0.71094,0.99356,0.56336,1.42659,0.006436,0.006436,0.006436
164,14047.8,0.6815,0.45097,1.03172,0.91871,0.87814,0.92461,0.71427,0.99079,0.58341,1.41069,0.006414,0.006414,0.006414
165,14132.5,0.67963,0.44981,1.0342,0.89856,0.88676,0.92127,0.70818,1.02434,0.59505,1.43216,0.006392,0.006392,0.006392
166,14217.4,0.67534,0.43771,1.04046,0.92486,0.87285,0.92925,0.71559,1.00307,0.58438,1.43038,0.00637,0.00637,0.00637
167,14302.8,0.67659,0.4371,1.0312,0.9398,0.86702,0.92838,0.71544,1.01831,0.59694,1.43182,0.006348,0.006348,0.006348
168,14388.2,0.68593,0.43625,1.03743,0.90492,0.88964,0.92437,0.70987,1.01585,0.58909,1.43372,0.006326,0.006326,0.006326
169,14472.7,0.65967,0.43104,1.02546,0.91636,0.88784,0.92105,0.7143,1.02,0.59534,1.43817,0.006304,0.006304,0.006304
170,14557.7,0.65799,0.43381,1.02995,0.93158,0.87529,0.92436,0.70801,1.01404,0.59021,1.4374,0.006282,0.006282,0.006282
171,14643.4,0.68098,0.43891,1.0352,0.92893,0.88644,0.92583,0.71024,1.0278,0.60211,1.4557,0.00626,0.00626,0.00626
172,14728.8,0.67409,0.44274,1.03321,0.92936,0.88518,0.93023,0.71234,1.01925,0.57245,1.44107,0.006238,0.006238,0.006238
173,14813.3,0.66155,0.44264,1.02988,0.93996,0.87907,0.9271,0.71321,1.0279,0.56151,1.44798,0.006216,0.006216,0.006216
174,14899.3,0.65371,0.42368,1.02009,0.93067,0.88392,0.92964,0.71114,1.02454,0.57193,1.46126,0.006194,0.006194,0.006194
175,14986.1,0.66482,0.432,1.02881,0.89937,0.89166,0.91956,0.70856,1.02503,0.59721,1.46113,0.006172,0.006172,0.006172
176,15070.8,0.66091,0.44454,1.02589,0.91281,0.8916,0.93081,0.71604,1.00439,0.5858,1.44594,0.00615,0.00615,0.00615
177,15156.3,0.65726,0.43066,1.02421,0.92026,0.88306,0.93251,0.71669,1.00968,0.60323,1.44034,0.006128,0.006128,0.006128
178,15241.9,0.66965,0.44341,1.03407,0.91452,0.88422,0.93295,0.71593,1.0086,0.59498,1.45767,0.006106,0.006106,0.006106
179,15327.3,0.65704,0.4321,1.02993,0.9263,0.86944,0.92668,0.70947,1.01374,0.58637,1.47088,0.006084,0.006084,0.006084
180,15412.1,0.64775,0.42282,1.02151,0.91518,0.8884,0.93219,0.71397,1.01891,0.55675,1.47103,0.006062,0.006062,0.006062
181,15497.8,0.65222,0.41933,1.01443,0.91262,0.88875,0.93052,0.71798,1.0231,0.5599,1.44915,0.00604,0.00604,0.00604
182,15583.7,0.65321,0.42812,1.01721,0.93358,0.86358,0.92567,0.71375,1.01815,0.57959,1.46277,0.006018,0.006018,0.006018
183,15670.2,0.64507,0.42307,1.01443,0.91888,0.87398,0.92602,0.71493,1.02647,0.59645,1.46417,0.005996,0.005996,0.005996
184,15754.9,0.63408,0.40724,1.01309,0.92122,0.86959,0.92526,0.71668,1.01884,0.58262,1.46533,0.005974,0.005974,0.005974
185,15841,0.64754,0.41055,1.01383,0.90506,0.88713,0.92823,0.71543,1.03174,0.568,1.48527,0.005952,0.005952,0.005952
186,15926.7,0.62628,0.40007,1.00643,0.92541,0.87422,0.92858,0.71394,1.0224,0.56115,1.4814,0.00593,0.00593,0.00593
187,16011.4,0.64629,0.41752,1.01758,0.91063,0.88269,0.92948,0.71327,1.01602,0.56254,1.47255,0.005908,0.005908,0.005908
188,16096.7,0.65191,0.41946,1.01865,0.9145,0.88538,0.92667,0.72151,1.01325,0.5902,1.45688,0.005886,0.005886,0.005886
